Source;Target;Weight
3;37;1
3;41;1
3;105;1
4;35;2
4;62;1
4;100;4
4;110;2
5;4;5
5;23;5
5;46;5
5;49;5
5;56;3
6;17;2
6;55;2
6;110;3
7;24;2
7;34;1
7;39;2
7;40;2
7;45;2
7;48;1
7;69;1
7;92;1
9;35;3
9;38;3
9;65;2
9;104;2
10;77;3
11;21;2
11;63;3
11;82;3
11;84;3
11;87;3
11;102;1
11;111;6
12;7;1
12;19;2
12;34;1
12;39;1
12;40;1
12;45;1
12;50;1
12;70;1
14;2;3
14;17;2
14;19;2
14;25;2
14;59;2
14;68;1
14;81;3
14;103;2
14;107;2
15;7;1
15;24;1
15;34;2
15;39;1
15;40;1
15;45;2
15;48;1
15;92;1
16;57;4
16;65;2
16;95;3
16;96;2
18;8;1
18;9;1
18;13;1
18;28;1
18;84;3
18;90;4
18;97;1
18;100;1
19;12;2
19;14;1
19;16;1
19;18;1
19;101;1
20;10;1
20;68;5
20;77;1
20;88;2
22;49;1
22;97;1
22;100;1
23;4;2
23;36;5
24;7;1
24;15;2
24;34;3
24;40;4
24;45;3
24;48;4
24;92;3
24;94;2
25;26;1
26;43;2
27;31;1
27;42;1
27;50;1
27;52;1
27;94;1
30;26;1
30;32;2
30;59;1
30;69;1
30;74;1
30;79;1
30;97;1
31;23;6
31;36;6
32;26;2
32;40;3
32;59;2
32;69;1
32;106;1
33;51;1
33;63;1
33;72;4
33;84;2
33;87;2
33;111;1
34;7;1
34;15;2
34;24;3
34;39;1
34;40;1
34;45;4
34;48;2
34;92;2
35;9;2
35;38;3
35;57;1
35;58;3
35;109;4
36;23;6
36;31;2
36;80;3
36;108;2
37;3;1
37;41;2
37;105;1
38;4;1
38;9;1
38;13;1
38;49;1
38;51;1
38;75;1
38;102;1
38;104;1
39;7;2
39;15;1
39;24;2
39;34;2
39;40;1
39;45;2
39;48;2
39;92;2
40;7;1
40;24;1
40;45;1
40;48;2
40;50;1
40;69;1
40;92;4
41;3;1
41;26;1
41;37;4
41;59;1
41;69;1
41;99;3
41;105;1
43;7;2
43;26;2
43;40;2
43;45;2
43;69;2
43;74;2
43;106;2
45;7;1
45;15;1
45;24;2
45;34;5
45;39;1
45;40;1
45;48;1
45;92;2
46;5;2
46;13;2
46;38;3
46;49;5
46;55;3
46;71;6
46;75;4
46;77;4
46;97;2
46;108;3
47;10;4
47;16;5
47;31;4
47;85;3
48;7;2
48;24;3
48;39;1
48;40;4
48;45;1
48;92;4
49;38;4
49;46;5
49;71;2
49;100;2
50;7;2
50;34;3
50;40;3
50;45;3
50;48;2
50;52;6
50;94;6
51;11;5
51;13;1
51;43;2
51;65;3
51;82;4
51;84;1
51;106;2
52;7;1
52;24;2
52;34;1
52;40;1
52;45;1
52;70;2
52;91;2
52;94;3
53;13;1
53;35;1
53;51;3
53;56;4
53;58;4
53;110;2
54;75;3
55;10;5
55;46;2
55;75;4
55;95;5
56;2;1
56;5;1
56;13;4
56;28;1
56;44;1
56;58;3
56;75;2
56;84;2
56;91;1
57;58;4
57;96;6
58;26;3
58;35;3
58;56;5
58;61;6
58;109;2
59;26;1
59;32;1
59;41;1
59;69;1
59;79;1
59;103;1
61;26;3
61;58;4
62;29;1
62;97;4
62;104;1
62;110;6
63;11;2
63;33;2
63;51;2
63;72;1
63;82;2
63;84;2
63;87;2
63;102;2
63;111;2
65;8;2
65;46;2
65;84;3
65;95;2
65;104;2
66;9;2
66;13;2
66;38;2
66;57;2
66;65;2
66;78;2
66;88;2
66;96;2
66;104;2
66;109;2
68;21;2
69;9;2
69;32;2
69;40;3
69;72;2
69;77;1
69;79;4
69;100;1
69;106;5
70;7;1
70;15;1
70;39;1
70;40;1
70;45;1
70;52;1
70;54;2
70;92;1
74;43;4
74;63;2
75;4;3
75;13;5
75;28;2
75;97;1
75;100;3
75;104;5
75;110;2
76;36;2
76;46;2
76;58;2
76;65;2
76;81;2
76;90;2
78;51;1
78;53;5
78;56;5
78;57;3
78;58;3
78;96;3
78;108;2
79;8;1
79;26;4
79;32;2
79;69;3
79;106;4
80;36;3
80;60;2
81;8;3
81;18;4
81;49;3
81;60;3
81;77;3
81;90;3
83;44;1
83;58;1
83;73;1
84;63;2
84;72;2
84;102;3
86;7;1
86;39;1
86;40;1
86;45;1
86;48;1
86;69;1
86;92;1
87;33;3
87;72;6
87;84;2
87;102;2
88;9;4
88;13;2
88;38;3
88;93;3
88;109;4
89;7;1
89;24;3
89;40;1
89;50;4
89;52;6
89;91;5
89;92;1
91;5;6
91;48;6
91;52;6
91;56;4
91;63;5
91;73;5
91;80;6
91;84;5
91;102;4
92;7;5
92;15;2
92;24;4
92;40;6
92;45;4
92;48;6
94;24;1
94;42;2
94;50;4
94;52;2
95;65;4
95;82;3
95;90;3
95;104;3
96;57;6
96;66;1
96;78;3
97;22;1
97;110;3
98;42;6
99;32;3
99;37;3
99;41;3
99;69;3
99;79;3
99;105;1
99;106;2
99;107;4
101;7;5
101;15;3
101;39;6
101;50;2
101;83;3
101;92;3
103;42;2
103;85;4
103;98;4
104;75;4
105;3;1
105;26;1
105;32;2
105;37;1
105;41;1
105;99;1
105;103;2
105;106;1
106;7;1
106;13;3
106;24;3
106;40;1
106;69;4
106;74;5
106;111;2
107;32;2
107;41;3
107;52;3
107;69;4
107;73;6
107;74;1
107;106;5
109;26;4
109;35;3
109;41;2
109;51;2
109;58;3
109;84;5
109;106;2
110;29;5
110;60;3
110;62;5
110;80;3
110;97;6
