ID;sex;race;grade;totalNum;scode
1;1;1;10;0;1
2;2;1;12;0;1
3;1;5;8;3;1
4;2;1;12;4;1
5;2;3;12;10;1
6;2;1;12;10;1
7;1;1;7;9;1
8;2;1;11;8;1
9;1;1;10;4;1
10;2;1;12;3;1
11;2;1;9;9;1
12;1;1;7;10;1
13;1;1;10;10;1
14;1;1;9;10;1
15;2;1;7;10;1
16;2;1;10;4;1
17;2;1;12;2;1
18;2;1;11;10;1
19;1;1;7;6;1
20;2;5;12;10;1
21;1;1;9;0;1
22;1;1;11;4;1
23;2;1;12;10;1
24;2;1;7;10;1
25;1;1;10;1;1
26;2;1;8;3;1
27;2;1;10;6;1
28;2;1;11;0;1
29;1;1;12;0;1
30;2;1;8;10;1
31;2;1;12;3;1
32;1;1;8;5;1
33;1;1;9;6;1
34;2;1;7;10;1
35;1;1;10;7;1
36;2;5;12;7;1
37;1;1;8;3;1
38;1;1;10;10;1
39;2;1;7;10;1
40;1;1;7;10;1
41;1;3;8;10;1
42;2;1;7;10;1
43;1;1;8;10;1
44;1;1;9;0;1
45;2;1;7;10;1
46;1;1;11;10;1
47;2;5;12;5;1
48;1;1;7;9;1
49;1;1;11;6;1
50;2;1;7;8;1
51;2;1;9;8;1
52;2;1;7;10;1
53;2;1;9;10;1
54;1;1;7;1;1
55;2;1;12;10;1
56;1;1;11;10;1
57;2;1;10;6;1
58;1;1;10;10;1
59;1;1;8;10;1
60;2;1;12;7;1
61;1;1;10;4;1
62;1;1;12;5;1
63;1;5;9;10;1
64;2;0;12;0;1
65;2;1;10;8;1
66;2;1;10;10;1
67;1;4;10;0;1
68;1;0;9;2;1
69;2;1;8;10;1
70;1;1;7;8;1
71;2;1;10;10;1
72;1;1;9;8;1
73;1;1;8;0;1
74;1;1;9;10;1
75;2;1;11;10;1
76;1;1;10;8;1
77;2;1;12;0;1
78;2;0;9;10;1
79;2;1;8;8;1
80;2;1;12;10;1
81;2;5;11;9;1
82;2;1;9;0;1
83;1;1;7;7;1
84;1;5;9;3;1
85;1;1;12;0;1
86;1;1;7;9;1
87;1;1;9;4;1
88;1;2;10;10;1
89;2;1;7;10;1
90;2;1;11;2;1
91;1;3;9;10;1
92;1;1;7;8;1
93;1;1;10;0;1
94;2;1;7;6;1
95;2;1;10;10;1
96;2;1;11;10;1
97;1;2;11;3;1
98;2;1;11;3;1
99;2;1;8;10;1
100;1;0;11;0;1
101;2;1;7;10;1
102;1;1;9;0;1
103;1;1;7;5;1
104;2;1;10;7;1
105;1;1;8;10;1
106;2;1;8;9;1
107;2;1;8;9;1
108;1;1;11;1;1
109;1;1;10;10;1
110;1;1;12;8;1
111;2;1;9;0;1
